Name,link,Move 1,Move 2,Move 3,Move 4,Item,Ability,Nature,EVs
Aron,https://www.smogon.com/dex/sm/pokemon/aron/,Rock Polish,Head Smash,Iron Head/Heavy Slam,Superpower/Earthquake,Eviolite,Rock Head,Jolly,196 Atk/116 SpD/196 Spe/
Lairon,https://www.smogon.com/dex/sm/pokemon/lairon/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Aggron,https://www.smogon.com/dex/sm/pokemon/aggron/,Heavy Slam,Curse,Rest,Sleep Talk,Aggronite,Sturdy,Careful,252 HP/4 Def/252 SpD/
Meditite,https://www.smogon.com/dex/sm/pokemon/meditite/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Medicham,https://www.smogon.com/dex/sm/pokemon/medicham/,Fake Out,High Jump Kick,Ice Punch,Thunder Punch/Zen Headbutt,Medichamite,Telepathy,Adamant,252 Atk/4 Def/252 Spe/
Electrike,https://www.smogon.com/dex/sm/pokemon/electrike/,Volt Switch,Hidden Power/Thunderbolt,Flamethrower,Thunderbolt/Switcheroo,Choice Scarf,Lightning Rod,Timid,0 Atk/30 SpA/
Nidoqueen,https://www.smogon.com/dex/sm/pokemon/nidoqueen/,Stealth Rock,Earth Power,Ice Beam/Sludge Wave,Taunt/Toxic,Life Orb,Sheer Force,Timid,252 SpA/4 SpD/252 Spe/
Manectric,https://www.smogon.com/dex/sm/pokemon/manectric/,Volt Switch,Flamethrower/Overheat,Thunderbolt,Hidden Power/Hidden Power,Manectite,Lightning Rod,Timid,4 Def/252 SpA/252 Spe/
Plusle,https://www.smogon.com/dex/sm/pokemon/plusle/,Nasty Plot,Thunderbolt,Grass Knot/Hidden Power,Encore/Substitute,Life Orb,Lightning Rod,Timid,252 SpA/4 SpD/252 Spe/
Minun,https://www.smogon.com/dex/sm/pokemon/minun/,Nasty Plot,Thunderbolt,Grass Knot/Hidden Power,Encore/Substitute,Life Orb,Volt Absorb,Timid,252 SpA/4 SpD/252 Spe/
Volbeat,https://www.smogon.com/dex/sm/pokemon/volbeat/,Rain Dance/Sunny Day,U-turn,Thunder Wave,Roost,Damp Rock,Prankster,Relaxed,252 HP/4 Atk/252 Def/
Illumise,https://www.smogon.com/dex/sm/pokemon/illumise/,Rain Dance/Sunny Day,U-turn,Thunder Wave,Encore,Damp Rock,Prankster,Relaxed,0 Spe/
Roselia,https://www.smogon.com/dex/sm/pokemon/roselia/,Spikes,Synthesis,Sludge Bomb,Giga Drain,Eviolite,Natural Cure,Calm,248 HP/236 SpD/24 Spe/
Gulpin,https://www.smogon.com/dex/sm/pokemon/gulpin/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Swalot,https://www.smogon.com/dex/sm/pokemon/swalot/,Sludge Bomb,Giga Drain,Ice Beam,Earthquake,Assault Vest,Liquid Ooze,Quiet,248 HP/200 SpA/60 SpD/
Carvanha,https://www.smogon.com/dex/sm/pokemon/carvanha/,Hydro Pump,Dark Pulse,Ice Beam,Protect,Life Orb,Speed Boost,Modest,9 HP/
Sharpedo,https://www.smogon.com/dex/sm/pokemon/sharpedo/,Crunch,Ice Fang,Psychic Fangs/Earthquake,Protect,Sharpedonite,Speed Boost,Jolly,4 HP/252 Atk/252 Spe/
Nidoran-M,https://www.smogon.com/dex/sm/pokemon/nidoran-m/,Poison Jab,Drill Run,Sucker Punch,Hone Claws,Eviolite,Hustle,Adamant,220 Atk/36 Def/196 Spe/
Wailmer,https://www.smogon.com/dex/sm/pokemon/wailmer/,Water Spout,Hydro Pump,Ice Beam,Hidden Power/Hidden Power,Choice Scarf,Pressure,Timid,36 HP/200 SpA/200 Spe/
Wailord,https://www.smogon.com/dex/sm/pokemon/wailord/,Substitute,Aqua Ring,Protect,Block,Leftovers,Pressure,Calm,252 Def/4 SpA/252 SpD/
Numel,https://www.smogon.com/dex/sm/pokemon/numel/,Flame Charge,Fire Blast,Earth Power,Stealth Rock/Growth,Groundium Z,Simple,Modest,36 HP/236 SpA/236 Spe/
Camerupt,https://www.smogon.com/dex/sm/pokemon/camerupt/,Stealth Rock,Lava Plume,Toxic,Protect/Earth Power,Leftovers,Solid Rock,Calm,252 HP/4 SpA/252 SpD/
Torkoal,https://www.smogon.com/dex/sm/pokemon/torkoal/,Stealth Rock,Rapid Spin,Lava Plume,Toxic/Yawn,Leftovers,Shell Armor,Bold,248 HP/232 Def/28 SpD/
Spoink,https://www.smogon.com/dex/sm/pokemon/spoink/,Calm Mind,Psychic,Power Gem,Hidden Power,Eviolite,Thick Fat,Timid,80 Def/200 SpA/200 Spe/
Grumpig,https://www.smogon.com/dex/sm/pokemon/grumpig/,Psychic,Focus Blast,Shadow Ball,Thunder Wave/Taunt/Calm Mind,Fightinium Z,Thick Fat,Timid,80 HP/252 SpA/176 Spe/
Spinda,https://www.smogon.com/dex/sm/pokemon/spinda/,Trick Room,Superpower,Return,Sucker Punch,Life Orb,Contrary,Brave,0 Spe/
Trapinch,https://www.smogon.com/dex/sm/pokemon/trapinch/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Vibrava,https://www.smogon.com/dex/sm/pokemon/vibrava/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Nidorino,https://www.smogon.com/dex/sm/pokemon/nidorino/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Flygon,https://www.smogon.com/dex/sm/pokemon/flygon/,U-turn,Earthquake,Outrage,Defog/Dragon Claw/Aerial Ace,Choice Scarf,Levitate,Jolly,252 Atk/4 SpD/252 Spe/
Cacnea,https://www.smogon.com/dex/sm/pokemon/cacnea/,Swords Dance,Sucker Punch,Seed Bomb,Thunder Punch/Drain Punch,Eviolite,Water Absorb,Jolly,236 Atk/116 Def/156 Spe/
Cacturne,https://www.smogon.com/dex/sm/pokemon/cacturne/,Swords Dance,Seed Bomb,Sucker Punch,Superpower,Life Orb,Water Absorb,Adamant,252 Atk/4 SpD/252 Spe/
Swablu,https://www.smogon.com/dex/sm/pokemon/swablu/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Altaria,https://www.smogon.com/dex/sm/pokemon/altaria/,Hyper Voice,Fire Blast,Toxic,Roost,Altarianite,Natural Cure,Modest,248 HP/4 Def/160 SpA/96 Spe/
Zangoose,https://www.smogon.com/dex/sm/pokemon/zangoose/,Belly Drum,Quick Attack,Knock Off,Close Combat,Sitrus Berry,Immunity,Jolly,4 HP/252 Atk/252 Spe/
Seviper,https://www.smogon.com/dex/sm/pokemon/seviper/,Sludge Wave,Giga Drain,Flamethrower/Earthquake,Sucker Punch,Life Orb,Shed Skin,Naughty,8 HP/56 Atk/224 SpA/220 Spe/
Lunatone,https://www.smogon.com/dex/sm/pokemon/lunatone/,Psyshock/Psychic,Power Gem,Earth Power,Rock Polish,Life Orb,Levitate,Timid,252 SpA/4 SpD/252 Spe/
Solrock,https://www.smogon.com/dex/sm/pokemon/solrock/,Stealth Rock,Stone Edge,Will-O-Wisp,Morning Sun,Rocky Helmet,Levitate,Impish,252 HP/252 Def/4 Spe/
Barboach,https://www.smogon.com/dex/sm/pokemon/barboach/,Dragon Dance,Earthquake,Waterfall,Bounce,Flyinium Z,Oblivious,Adamant,36 HP/212 Atk/12 Def/28 SpD/196 Spe/
Nidoking,https://www.smogon.com/dex/sm/pokemon/nidoking/,Sludge Wave,Earth Power,Ice Beam,Taunt/Substitute,Life Orb,Sheer Force,Timid,4 Def/252 SpA/252 Spe/
Whiscash,https://www.smogon.com/dex/sm/pokemon/whiscash/,Dragon Dance,Waterfall,Earthquake,Bounce,Flyinium Z,Anticipation,Jolly,4 HP/252 Atk/252 Spe/
Corphish,https://www.smogon.com/dex/sm/pokemon/corphish/,Crabhammer,Aqua Jet,Knock Off,Dragon Dance,Eviolite,Adaptability,Adamant,196 Atk/76 Def/236 Spe/
Crawdaunt,https://www.smogon.com/dex/sm/pokemon/crawdaunt/,Knock Off,Crabhammer,Aqua Jet,Crunch/Superpower,Choice Band,Adaptability,Adamant,252 Atk/4 Def/252 Spe/
Baltoy,https://www.smogon.com/dex/sm/pokemon/baltoy/,Rapid Spin,Stealth Rock,Earth Power,Psychic,Berry Juice,Levitate,Bold,36 HP/236 Def/36 SpA/196 SpD/
Claydol,https://www.smogon.com/dex/sm/pokemon/claydol/,Rapid Spin,Stealth Rock/Toxic,Psychic,Earth Power,Colbur Berry,Levitate,Bold,252 HP/120 Def/136 Spe/
Lileep,https://www.smogon.com/dex/sm/pokemon/lileep/,Recover,Giga Drain,Stealth Rock,Toxic/Earth Power/Ancient Power,Eviolite,Storm Drain,Bold,68 HP/220 Def/108 SpA/60 SpD/12 Spe/
Cradily,https://www.smogon.com/dex/sm/pokemon/cradily/,Giga Drain,Toxic,Stealth Rock,Recover,Leftovers,Storm Drain,Bold,252 HP/252 Def/4 SpD/
Anorith,https://www.smogon.com/dex/sm/pokemon/anorith/,Stealth Rock,Rapid Spin,Knock Off,Rock Blast,Berry Juice,Battle Armor,Jolly,236 Atk/36 Def/236 Spe/
Armaldo,https://www.smogon.com/dex/sm/pokemon/armaldo/,Stone Edge,Earthquake/X-Scissor,Aqua Jet/Earthquake/Knock Off,Swords Dance,Life Orb,Swift Swim,Adamant,29 HP/
Feebas,https://www.smogon.com/dex/sm/pokemon/feebas/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Clefairy,https://www.smogon.com/dex/sm/pokemon/clefairy/,Soft-Boiled,Moonblast/Seismic Toss,Knock Off/Stealth Rock,Toxic,Eviolite,Magic Guard,Sassy,0 Spe/
Milotic,https://www.smogon.com/dex/sm/pokemon/milotic/,Scald,Recover,Haze/Toxic,Ice Beam/Refresh,Leftovers,Marvel Scale,Calm,252 HP/108 Def/148 SpD/
Castform,https://www.smogon.com/dex/sm/pokemon/castform/,Rain Dance,Hydro Pump,Ice Beam,Thunder,Waterium Z,Forecast,Timid,252 SpA/4 SpD/252 Spe/
Kecleon,https://www.smogon.com/dex/sm/pokemon/kecleon/,Knock Off,Drain Punch,Shadow Sneak,Fake Out/Sucker Punch/Ice Beam,Assault Vest,Protean,Brave,252 HP/156 Atk/100 SpA/
Shuppet,https://www.smogon.com/dex/sm/pokemon/shuppet/,Trick Room,Knock Off,Shadow Sneak,Destiny Bond,Focus Sash,Frisk,Brave,0 Spe/
Banette,https://www.smogon.com/dex/sm/pokemon/banette/,Shadow Claw,Gunk Shot/Knock Off,Will-O-Wisp,Shadow Sneak/Sucker Punch,Life Orb,Insomnia,Adamant,252 Atk/4 Def/252 Spe/
Duskull,https://www.smogon.com/dex/sm/pokemon/duskull/,Pain Split,Will-O-Wisp,Substitute,Hex/Shadow Sneak,Eviolite,Levitate,Careful,196 HP/196 Def/116 SpD/
Dusclops,https://www.smogon.com/dex/sm/pokemon/dusclops/,Rest,Sleep Talk,Will-O-Wisp/Toxic,Seismic Toss,Eviolite,Pressure,Bold,252 HP/252 Def/4 SpD/
Tropius,https://www.smogon.com/dex/sm/pokemon/tropius/,Leech Seed,Substitute,Air Slash,Toxic/Protect,Sitrus Berry,Harvest,Bold,248 HP/252 Def/8 SpD/
Chimecho,https://www.smogon.com/dex/sm/pokemon/chimecho/,Psyshock/Psychic,Heal Bell/Toxic,Recover,Defog,Leftovers,Levitate,Bold,252 HP/252 Def/4 SpA/
Absol,https://www.smogon.com/dex/sm/pokemon/absol/,Swords Dance,Knock Off,Sucker Punch,Play Rough/Superpower,Darkinium Z,Justified,Jolly,252 Atk/4 Def/252 Spe/
Clefable,https://www.smogon.com/dex/sm/pokemon/clefable/,Moonblast,Calm Mind,Wish,Protect,Leftovers,Unaware,Bold,252 HP/252 Def/4 SpD/
Wynaut,https://www.smogon.com/dex/sm/pokemon/wynaut/,Counter,Mirror Coat,Encore,Safeguard/Tickle,Berry Juice,Shadow Tag,Bold,156 HP/132 Def/132 SpD/12 Spe/
Snorunt,https://www.smogon.com/dex/sm/pokemon/snorunt/,Spikes,Frost Breath,Shadow Ball,Hidden Power,Choice Scarf,Inner Focus,Modest,30 HP/0 Atk/30 SpA/30 SpD/30 Spe/
Glalie,https://www.smogon.com/dex/sm/pokemon/glalie/,Spikes,Double-Edge,Earthquake,Explosion,Glalitite,Ice Body,Jolly,252 Atk/4 SpD/252 Spe/
Spheal,https://www.smogon.com/dex/sm/pokemon/spheal/,Yawn,Ice Beam,Surf,Hidden Power/Hidden Power,Berry Juice,Thick Fat,Modest,0 Atk/30 SpA/
Sealeo,https://www.smogon.com/dex/sm/pokemon/sealeo/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Walrein,https://www.smogon.com/dex/sm/pokemon/walrein/,Roar,Toxic,Ice Beam/Surf,Encore/Super Fang/Protect,Leftovers,Oblivious,Calm,248 HP/8 Def/252 SpD/
Clamperl,https://www.smogon.com/dex/sm/pokemon/clamperl/,Shell Smash,Surf,Ice Beam,Substitute/Hidden Power,Deep Sea Tooth,Rattled,Timid,76 HP/248 SpA/184 Spe/
Huntail,https://www.smogon.com/dex/sm/pokemon/huntail/,Shell Smash,Waterfall,Ice Beam,Sucker Punch,White Herb,Water Veil,Naughty,252 Atk/4 SpA/252 Spe/
Gorebyss,https://www.smogon.com/dex/sm/pokemon/gorebyss/,Shell Smash,Hydro Pump,Ice Beam,Substitute/Hidden Power/Hidden Power,White Herb,Swift Swim,Timid,4 Def/252 SpA/252 Spe/
Relicanth,https://www.smogon.com/dex/sm/pokemon/relicanth/,Rain Dance,Head Smash,Stealth Rock,Toxic/Yawn,Damp Rock,Sturdy,Jolly,252 Atk/4 Def/252 Spe/
Vulpix,https://www.smogon.com/dex/sm/pokemon/vulpix/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Vulpix-Alola,https://www.smogon.com/dex/sm/pokemon/vulpix-alola/,Aurora Veil,Blizzard,Freeze-Dry,Hidden Power/Hidden Power,Light Clay,Snow Warning,Timid,52 HP/200 SpA/240 Spe/
Luvdisc,https://www.smogon.com/dex/sm/pokemon/luvdisc/,Hydro Pump,Ice Beam,Hidden Power,Rain Dance,Waterium Z,Swift Swim,Timid,252 SpA/4 SpD/252 Spe/
Bagon,https://www.smogon.com/dex/sm/pokemon/bagon/,Dragon Dance,Outrage,Substitute/Zen Headbutt,Substitute/Fire Fang,Dragonium Z,Sheer Force,Adamant,0 HP/
Shelgon,https://www.smogon.com/dex/sm/pokemon/shelgon/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Salamence,https://www.smogon.com/dex/sm/pokemon/salamence/,Body Slam,Defog,Roost,Dragon Tail/Refresh,Salamencite,Intimidate,Impish,248 HP/136 Def/124 Spe/
Beldum,https://www.smogon.com/dex/sm/pokemon/beldum/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Metang,https://www.smogon.com/dex/sm/pokemon/metang/,Stealth Rock,Meteor Mash,Bullet Punch/Zen Headbutt/Earthquake,Zen Headbutt/Earthquake/Bullet Punch,Eviolite,Clear Body,Adamant,88 Atk/204 Def/216 Spe/
Metagross,https://www.smogon.com/dex/sm/pokemon/metagross/,Meteor Mash,Ice Punch,Thunder Punch/Rock Slide,Earthquake/Bullet Punch,Metagrossite,Clear Body,Jolly,232 HP/60 Atk/40 SpD/176 Spe/
Regirock,https://www.smogon.com/dex/sm/pokemon/regirock/,Sunny Day,Stealth Rock,Explosion,Stone Edge,Heat Rock,Sturdy,Adamant,252 HP/252 Atk/4 Def/
Regice,https://www.smogon.com/dex/sm/pokemon/regice/,Rock Polish,Ice Beam,Thunderbolt,Focus Blast,Fightinium Z,Clear Body,Modest,4 Def/252 SpA/252 Spe/
Registeel,https://www.smogon.com/dex/sm/pokemon/registeel/,Seismic Toss,Toxic,Stealth Rock,Protect,Leftovers,Clear Body,Calm,252 HP/4 Def/252 SpD/
Ninetales,https://www.smogon.com/dex/sm/pokemon/ninetales/,Overheat,Flamethrower/Fire Blast,Solar Beam,Hidden Power,Choice Specs,Drought,Timid,252 SpA/4 SpD/252 Spe/
Ninetales-Alola,https://www.smogon.com/dex/sm/pokemon/ninetales-alola/,Aurora Veil,Freeze-Dry,Hypnosis,Hail,Light Clay,Snow Warning,Timid,252 HP/4 SpA/252 Spe/
Latias,https://www.smogon.com/dex/sm/pokemon/latias/,Calm Mind,Psyshock/Stored Power,Ice Beam,Roost,Latiasite,Levitate,Timid,248 HP/8 Def/252 Spe/
Latios,https://www.smogon.com/dex/sm/pokemon/latios/,Psychic,Earthquake,Thunderbolt/Draco Meteor/Ice Beam,Roost,Latiosite,Levitate,Naive,4 Atk/252 SpA/252 Spe/
Kyogre,https://www.smogon.com/dex/sm/pokemon/kyogre/,Origin Pulse,Ice Beam,Substitute/Thunder,Calm Mind/Liquidation,Blue Orb,Drizzle,Hasty,4 Def/252 SpA/252 Spe/
Groudon,https://www.smogon.com/dex/sm/pokemon/groudon/,Rock Polish,Swords Dance,Precipice Blades,Fire Punch/Stone Edge,Red Orb,Drought,Adamant,252 Atk/100 SpD/156 Spe/
Rayquaza,https://www.smogon.com/dex/sm/pokemon/rayquaza/,Dragon Ascent,Draco Meteor,Extreme Speed,Surf/Earthquake/V-create,Life Orb,Air Lock,Naughty,252 Atk/4 SpA/252 Spe/
Jirachi,https://www.smogon.com/dex/sm/pokemon/jirachi/,Stealth Rock,Iron Head,U-turn,Healing Wish,Leftovers,Serene Grace,Careful,248 HP/188 SpD/72 Spe/
Deoxys,https://www.smogon.com/dex/sm/pokemon/deoxys/,Psycho Boost,Taunt,Pursuit,Ice Beam/Spikes,Kasib Berry,Pressure,Jolly,228 Atk/120 Def/48 SpD/112 Spe/
Deoxys-Attack,https://www.smogon.com/dex/sm/pokemon/deoxys-attack/,Psycho Boost,Ice Beam,Superpower,Dark Pulse/Pursuit,Life Orb,Pressure,Rash,4 Atk/252 SpA/252 Spe/
Deoxys-Defense,https://www.smogon.com/dex/sm/pokemon/deoxys-defense/,Spikes,Taunt,Recover,Toxic,Leftovers,Pressure,Bold,0 Atk/
Deoxys-Speed,https://www.smogon.com/dex/sm/pokemon/deoxys-speed/,Stealth Rock,Taunt,Magic Coat/Skill Swap,Magic Coat/Spikes,Rocky Helmet,Pressure,Timid,252 HP/4 Def/252 Spe/
Turtwig,https://www.smogon.com/dex/sm/pokemon/turtwig/,Stealth Rock,Synthesis,Bullet Seed,Superpower,Eviolite,Overgrow,Careful,76 HP/52 Atk/244 Def/76 SpD/28 Spe/
Grotle,https://www.smogon.com/dex/sm/pokemon/grotle/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Torterra,https://www.smogon.com/dex/sm/pokemon/torterra/,Rock Polish,Swords Dance/Stone Edge,Wood Hammer,Earthquake,Rockium Z,Overgrow,Jolly,252 Atk/4 Def/252 Spe/
Jigglypuff,https://www.smogon.com/dex/sm/pokemon/jigglypuff/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Chimchar,https://www.smogon.com/dex/sm/pokemon/chimchar/,Fake Out,Overheat,Hidden Power,Stealth Rock,Focus Sash,Blaze,Hasty,4 HP/56 Atk/4 Def/216 SpA/4 SpD/188 Spe/
Monferno,https://www.smogon.com/dex/sm/pokemon/monferno/,Stealth Rock,Close Combat,Flare Blitz,U-turn,Eviolite,Blaze,Jolly,252 Atk/4 Def/252 Spe/
Infernape,https://www.smogon.com/dex/sm/pokemon/infernape/,Swords Dance,Close Combat,Flare Blitz,Thunder Punch/Mach Punch,Electrium Z,Iron Fist,Jolly,252 Atk/4 Def/252 Spe/
Piplup,https://www.smogon.com/dex/sm/pokemon/piplup/,Stealth Rock,Defog,Scald,Ice Beam,Eviolite,Torrent,Bold,92 HP/252 Def/148 SpD/
Prinplup,https://www.smogon.com/dex/sm/pokemon/prinplup/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Empoleon,https://www.smogon.com/dex/sm/pokemon/empoleon/,Scald,Defog/Stealth Rock,Toxic,Roar/Knock Off/Protect,Leftovers,Torrent,Calm,252 HP/76 Def/180 SpD/
Starly,https://www.smogon.com/dex/sm/pokemon/starly/,Brave Bird,Double-Edge,U-turn,Hidden Power/Heat Wave,Choice Scarf,Reckless,Naive,36 HP/236 Atk/36 SpA/196 Spe/
Staravia,https://www.smogon.com/dex/sm/pokemon/staravia/,Brave Bird,U-turn,Defog,Roost,Eviolite,Intimidate,Impish,252 HP/252 Def/4 Spe/
Staraptor,https://www.smogon.com/dex/sm/pokemon/staraptor/,Brave Bird,Double-Edge,U-turn,Tailwind/Defog/Final Gambit/Close Combat,Choice Scarf,Reckless,Jolly,252 Atk/4 Def/252 Spe/
Bidoof,https://www.smogon.com/dex/sm/pokemon/bidoof/,Swords Dance,Return,Quick Attack,Aqua Tail/Crunch,Berry Juice,Simple,Adamant,236 Atk/116 Def/116 SpD/28 Spe/
Charmander,https://www.smogon.com/dex/sm/pokemon/charmander/,Dragon Dance,Flare Blitz,Brick Break/Hidden Power,Thunder Punch,Life Orb,Blaze,Adamant,21 HP/
Wigglytuff,https://www.smogon.com/dex/sm/pokemon/wigglytuff/,Stealth Rock,Hyper Voice,Dazzling Gleam,Focus Blast/Fire Blast,Life Orb,Competitive,Timid,4 HP/252 SpA/252 Spe/
Bibarel,https://www.smogon.com/dex/sm/pokemon/bibarel/,Swords Dance,Return,Quick Attack,Aqua Jet/Liquidation,Silk Scarf,Simple,Adamant,252 Atk/4 Def/252 Spe/
Kricketot,https://www.smogon.com/dex/sm/pokemon/kricketot/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Kricketune,https://www.smogon.com/dex/sm/pokemon/kricketune/,Sticky Web,Endeavor,Taunt,Bug Bite,Focus Sash,Technician,Jolly,252 Atk/4 SpD/252 Spe/
Shinx,https://www.smogon.com/dex/sm/pokemon/shinx/,Volt Switch,Wild Charge,Thief,Ice Fang/Fire Fang,Berry Juice,Intimidate,Adamant,76 HP/76 Atk/244 Def/36 SpA/4 SpD/
Luxio,https://www.smogon.com/dex/sm/pokemon/luxio/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Luxray,https://www.smogon.com/dex/sm/pokemon/luxray/,Wild Charge,Facade,Superpower,Volt Switch,Flame Orb,Guts,Jolly,252 Atk/4 SpD/252 Spe/
Budew,https://www.smogon.com/dex/sm/pokemon/budew/,Spikes,Sludge Bomb/Sleep Powder,Giga Drain/Synthesis,Hidden Power/Sludge Bomb/Giga Drain,Eviolite,Natural Cure,Bold,36 HP/236 Def/40 SpA/196 SpD/
Roserade,https://www.smogon.com/dex/sm/pokemon/roserade/,Spikes,Leaf Storm,Sludge Bomb,Synthesis/Hidden Power,Life Orb,Natural Cure,Timid,252 SpA/4 SpD/252 Spe/
Cranidos,https://www.smogon.com/dex/sm/pokemon/cranidos/,Rock Slide,Zen Headbutt,Superpower/Fire Punch,Substitute/Crunch,Life Orb,Sheer Force,Jolly,236 Atk/36 Def/212 Spe/
Rampardos,https://www.smogon.com/dex/sm/pokemon/rampardos/,Rock Slide,Fire Punch,Ice Beam,Substitute/Zen Headbutt,Life Orb,Sheer Force,Naive,252 Atk/4 SpA/252 Spe/
Zubat,https://www.smogon.com/dex/sm/pokemon/zubat/,Brave Bird,U-turn,Defog,Pursuit,Choice Scarf,Inner Focus,Jolly,36 HP/236 Atk/236 Spe/
Shieldon,https://www.smogon.com/dex/sm/pokemon/shieldon/,Metal Burst,Stealth Rock,Rock Blast,Protect/Endure,Berry Juice,Sturdy,Adamant,116 HP/100 Atk/52 Def/212 SpD/
Bastiodon,https://www.smogon.com/dex/sm/pokemon/bastiodon/,Stealth Rock,Metal Burst/Rock Slide,Roar/Magic Coat/Metal Burst,Toxic,Leftovers,Sturdy,Careful,252 HP/4 Def/252 SpD/
Burmy,https://www.smogon.com/dex/sm/pokemon/burmy/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Wormadam,https://www.smogon.com/dex/sm/pokemon/wormadam/,Quiver Dance,Bug Buzz,Giga Drain,Hidden Power,Leftovers,Overcoat,Timid,252 SpA/4 SpD/252 Spe/
Wormadam-Sandy,https://www.smogon.com/dex/sm/pokemon/wormadam-sandy/,Earthquake,Stealth Rock,Toxic,Protect,Leftovers,Overcoat,Impish,252 HP/4 Atk/252 Def/
Wormadam-Trash,https://www.smogon.com/dex/sm/pokemon/wormadam-trash/,Stealth Rock,Toxic,Protect,Gyro Ball/Iron Head,Leftovers,Overcoat,Careful,252 HP/4 Def/252 SpD/
Mothim,https://www.smogon.com/dex/sm/pokemon/mothim/,Bug Buzz,Air Slash,U-turn,Energy Ball,Choice Specs,Tinted Lens,Rash,4 Atk/252 SpA/252 Spe/
Combee,https://www.smogon.com/dex/sm/pokemon/combee/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Vespiquen,https://www.smogon.com/dex/sm/pokemon/vespiquen/,Substitute,Toxic,Roost,Bug Buzz/Air Slash,Leftovers,Pressure,Bold,248 HP/172 Def/88 Spe/
Pachirisu,https://www.smogon.com/dex/sm/pokemon/pachirisu/,Nuzzle,Toxic,U-turn,Super Fang,Leftovers,Volt Absorb,Impish,252 HP/252 Def/4 SpD/
Buizel,https://www.smogon.com/dex/sm/pokemon/buizel/,Blizzard,Scald,Hidden Power,Aqua Jet,Life Orb,Water Veil,Naive,200 SpA/36 SpD/240 Spe/
Floatzel,https://www.smogon.com/dex/sm/pokemon/floatzel/,Hydro Pump,Ice Beam,Focus Blast,Switcheroo,Choice Specs,Water Veil,Timid,4 Def/252 SpA/252 Spe/
Golbat,https://www.smogon.com/dex/sm/pokemon/golbat/,Brave Bird,Toxic,Taunt/Defog,Roost,Eviolite,Infiltrator,Jolly,252 HP/80 SpD/176 Spe/
Cherubi,https://www.smogon.com/dex/sm/pokemon/cherubi/,Solar Beam,Weather Ball,Sunny Day,Healing Wish,Eviolite,Chlorophyll,Modest,76 Def/180 SpA/236 Spe/
Cherrim,https://www.smogon.com/dex/sm/pokemon/cherrim/,Sunny Day,Swords Dance,Petal Blizzard,Healing Wish/Return,Firium Z,Flower Gift,Jolly,252 Atk/4 Def/252 Spe/
Shellos,https://www.smogon.com/dex/sm/pokemon/shellos/,Scald,Recover,Ice Beam/Earth Power,Toxic/Clear Smog,Eviolite,Sticky Hold,Bold,228 HP/132 Def/100 SpD/4 Spe/
Gastrodon,https://www.smogon.com/dex/sm/pokemon/gastrodon/,Scald,Recover,Toxic,Earthquake,Leftovers,Storm Drain,Sassy,252 HP/108 Def/148 SpD/
Ambipom,https://www.smogon.com/dex/sm/pokemon/ambipom/,Fake Out,Return,Pursuit/Low Kick,U-turn,Life Orb,Technician,Jolly,252 Atk/4 Def/252 Spe/
Drifloon,https://www.smogon.com/dex/sm/pokemon/drifloon/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Drifblim,https://www.smogon.com/dex/sm/pokemon/drifblim/,Substitute,Acrobatics,Knock Off,Explosion/Will-O-Wisp,Sitrus Berry,Unburden,Adamant,12 HP/252 Atk/32 Def/32 SpD/180 Spe/
Buneary,https://www.smogon.com/dex/sm/pokemon/buneary/,Splash,Return,Drain Punch,Quick Attack/Fire Punch,Normalium Z,Limber,Jolly,228 Atk/4 Def/236 Spe/
Lopunny,https://www.smogon.com/dex/sm/pokemon/lopunny/,Frustration,High Jump Kick,Power-Up Punch,Encore,Lopunnite,Limber,Jolly,252 Atk/4 SpD/252 Spe/
Mismagius,https://www.smogon.com/dex/sm/pokemon/mismagius/,Nasty Plot,Shadow Ball,Power Gem,Taunt/Protect,Ghostium Z,Levitate,Timid,252 SpA/4 SpD/252 Spe/
Oddish,https://www.smogon.com/dex/sm/pokemon/oddish/,Sleep Powder,Synthesis/Strength Sap,Sludge Bomb,Giga Drain,Eviolite,Chlorophyll,Bold,156 HP/236 Def/76 SpD/36 Spe/
