Name,Type1,Type2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Abilities,Weight (kg),Height (m)
porygonz,Normal,,85,80,70,135,75,90,"Adaptability, Download, Analytic",34,0.9
gallade,Psychic,Fighting,68,125,65,65,115,80,"Steadfast, Sharpness, Justified",52,1.6
gallademega,Psychic,Fighting,68,165,95,65,115,110,Inner Focus,56.4,1.6
probopass,Rock,Steel,60,55,145,75,150,40,"Sturdy, Magnet Pull, Sand Force",340,1.4
dusknoir,Ghost,,45,100,135,65,135,45,"Pressure, Frisk",106.6,2.2
froslass,Ice,Ghost,70,80,70,80,70,110,"Snow Cloak, Cursed Body",26.6,1.3
rotom,Electric,Ghost,50,50,77,95,77,91,Levitate,0.3,0.3
rotomheat,Electric,Fire,50,65,107,105,107,86,Levitate,0.3,0.3
rotomwash,Electric,Water,50,65,107,105,107,86,Levitate,0.3,0.3
rotomfrost,Electric,Ice,50,65,107,105,107,86,Levitate,0.3,0.3
rotomfan,Electric,Flying,50,65,107,105,107,86,Levitate,0.3,0.3
rotommow,Electric,Grass,50,65,107,105,107,86,Levitate,0.3,0.3
uxie,Psychic,,75,75,130,75,130,95,Levitate,0.3,0.3
mesprit,Psychic,,80,105,105,105,105,80,Levitate,0.3,0.3
azelf,Psychic,,75,125,70,125,70,115,Levitate,0.3,0.3
dialga,Steel,Dragon,100,120,120,150,100,90,"Pressure, Telepathy",683,5.4
dialgaorigin,Steel,Dragon,100,100,120,150,120,90,"Pressure, Telepathy",850,7
palkia,Water,Dragon,90,120,100,150,120,100,"Pressure, Telepathy",336,4.2
palkiaorigin,Water,Dragon,90,100,100,150,120,120,"Pressure, Telepathy",660,6.3
heatran,Fire,Steel,91,90,106,130,106,77,"Flash Fire, Flame Body",430,1.7
regigigas,Normal,,110,160,110,80,110,100,Slow Start,420,3.7
giratina,Ghost,Dragon,150,100,120,100,120,90,"Pressure, Telepathy",750,4.5
giratinaorigin,Ghost,Dragon,150,120,100,120,100,90,Levitate,650,6.9
cresselia,Psychic,,120,70,110,75,120,85,Levitate,85.6,1.5
phione,Water,,80,80,80,80,80,80,Hydration,3.1,0.4
manaphy,Water,,100,100,100,100,100,100,Hydration,1.4,0.3
darkrai,Dark,,70,90,90,135,90,125,Bad Dreams,50.5,1.5
shaymin,Grass,,100,100,100,100,100,100,Natural Cure,2.1,0.2
shayminsky,Grass,Flying,100,103,75,120,75,127,Serene Grace,5.2,0.4
arceus,Normal,,120,120,120,120,120,120,Multitype,320,3.2
arceusbug,Bug,,120,120,120,120,120,120,Multitype,320,3.2
arceusdark,Dark,,120,120,120,120,120,120,Multitype,320,3.2
arceusdragon,Dragon,,120,120,120,120,120,120,Multitype,320,3.2
arceuselectric,Electric,,120,120,120,120,120,120,Multitype,320,3.2
arceusfairy,Fairy,,120,120,120,120,120,120,Multitype,320,3.2
arceusfighting,Fighting,,120,120,120,120,120,120,Multitype,320,3.2
arceusfire,Fire,,120,120,120,120,120,120,Multitype,320,3.2
arceusflying,Flying,,120,120,120,120,120,120,Multitype,320,3.2
arceusghost,Ghost,,120,120,120,120,120,120,Multitype,320,3.2
arceusgrass,Grass,,120,120,120,120,120,120,Multitype,320,3.2
arceusground,Ground,,120,120,120,120,120,120,Multitype,320,3.2
arceusice,Ice,,120,120,120,120,120,120,Multitype,320,3.2
arceuspoison,Poison,,120,120,120,120,120,120,Multitype,320,3.2
arceuspsychic,Psychic,,120,120,120,120,120,120,Multitype,320,3.2
arceusrock,Rock,,120,120,120,120,120,120,Multitype,320,3.2
arceussteel,Steel,,120,120,120,120,120,120,Multitype,320,3.2
arceuswater,Water,,120,120,120,120,120,120,Multitype,320,3.2
victini,Psychic,Fire,100,100,100,100,100,100,Victory Star,4,0.4
snivy,Grass,,45,45,55,45,55,63,"Overgrow, Contrary",8.1,0.6
servine,Grass,,60,60,75,60,75,83,"Overgrow, Contrary",16,0.8
serperior,Grass,,75,75,95,75,95,113,"Overgrow, Contrary",63,3.3
tepig,Fire,,65,63,45,45,45,45,"Blaze, Thick Fat",9.9,0.5
pignite,Fire,Fighting,90,93,55,70,55,55,"Blaze, Thick Fat",55.5,1
emboar,Fire,Fighting,110,123,65,100,65,65,"Blaze, Reckless",150,1.6
oshawott,Water,,55,55,45,63,45,45,"Torrent, Shell Armor",5.9,0.5
dewott,Water,,75,75,60,83,60,60,"Torrent, Shell Armor",24.5,0.8
samurott,Water,,95,100,85,108,70,70,"Torrent, Shell Armor",94.6,1.5
samurotthisui,Water,Dark,90,108,80,100,65,85,"Torrent, Sharpness",58.2,1.5
patrat,Normal,,45,55,39,35,39,42,"Run Away, Keen Eye, Analytic",11.6,0.5
watchog,Normal,,60,85,69,60,69,77,"Illuminate, Keen Eye, Analytic",27,1.1
lillipup,Normal,,45,60,45,25,45,55,"Vital Spirit, Pickup, Run Away",4.1,0.4
herdier,Normal,,65,80,65,35,65,60,"Intimidate, Sand Rush, Scrappy",14.7,0.9
stoutland,Normal,,85,110,90,45,90,80,"Intimidate, Sand Rush, Scrappy",61,1.2
purrloin,Dark,,41,50,37,50,37,66,"Limber, Unburden, Prankster",10.1,0.4
liepard,Dark,,64,88,50,88,50,106,"Limber, Unburden, Prankster",37.5,1.1
pansage,Grass,,50,53,48,53,48,64,"Gluttony, Overgrow",10.5,0.6
simisage,Grass,,75,98,63,98,63,101,"Gluttony, Overgrow",30.5,1.1
pansear,Fire,,50,53,48,53,48,64,"Gluttony, Blaze",11,0.6
simisear,Fire,,75,98,63,98,63,101,"Gluttony, Blaze",28,1
panpour,Water,,50,53,48,53,48,64,"Gluttony, Torrent",13.5,0.6
simipour,Water,,75,98,63,98,63,101,"Gluttony, Torrent",29,1
munna,Psychic,,76,25,45,67,55,24,"Forewarn, Synchronize, Telepathy",23.3,0.6
musharna,Psychic,,116,55,85,107,95,29,"Forewarn, Synchronize, Telepathy",60.5,1.1
pidove,Normal,Flying,50,55,50,36,30,43,"Big Pecks, Super Luck, Rivalry",2.1,0.3
tranquill,Normal,Flying,62,77,62,50,42,65,"Big Pecks, Super Luck, Rivalry",15,0.6
unfezant,Normal,Flying,80,115,80,65,55,93,"Big Pecks, Super Luck, Rivalry",29,1.2
blitzle,Electric,,45,60,32,50,32,76,"Lightning Rod, Motor Drive, Sap Sipper",29.8,0.8
zebstrika,Electric,,75,100,63,80,63,116,"Lightning Rod, Motor Drive, Sap Sipper",79.5,1.6
roggenrola,Rock,,55,75,85,25,25,15,"Sturdy, Weak Armor, Sand Force",18,0.4
boldore,Rock,,70,105,105,50,40,20,"Sturdy, Weak Armor, Sand Force",102,0.9
gigalith,Rock,,85,135,130,60,80,25,"Sturdy, Sand Stream, Sand Force",260,1.7
woobat,Psychic,Flying,65,45,43,55,43,72,"Unaware, Klutz, Simple",2.1,0.4
swoobat,Psychic,Flying,67,57,55,77,55,114,"Unaware, Klutz, Simple",10.5,0.9
drilbur,Ground,,60,85,40,30,45,68,"Sand Rush, Sand Force, Mold Breaker",8.5,0.3
excadrill,Ground,Steel,110,135,60,50,65,88,"Sand Rush, Sand Force, Mold Breaker",40.4,0.7
audino,Normal,,103,60,86,60,86,50,"Healer, Regenerator, Klutz",31,1.1
audinomega,Normal,Fairy,103,60,126,80,126,50,Healer,32,1.5
timburr,Fighting,,75,80,55,25,35,35,"Guts, Sheer Force, Iron Fist",12.5,0.6
gurdurr,Fighting,,85,105,85,40,50,40,"Guts, Sheer Force, Iron Fist",40,1.2
conkeldurr,Fighting,,105,140,95,55,65,45,"Guts, Sheer Force, Iron Fist",87,1.4
tympole,Water,,50,50,40,50,40,64,"Swift Swim, Hydration, Water Absorb",4.5,0.5
palpitoad,Water,Ground,75,65,55,65,55,69,"Swift Swim, Hydration, Water Absorb",17,0.8
seismitoad,Water,Ground,105,95,75,85,75,74,"Swift Swim, Poison Touch, Water Absorb",62,1.5
throh,Fighting,,120,100,85,30,85,45,"Guts, Inner Focus, Mold Breaker",55.5,1.3
sawk,Fighting,,75,125,75,30,75,85,"Sturdy, Inner Focus, Mold Breaker",51,1.4
sewaddle,Bug,Grass,45,53,70,40,60,42,"Swarm, Chlorophyll, Overcoat",2.5,0.3
swadloon,Bug,Grass,55,63,90,50,80,42,"Leaf Guard, Chlorophyll, Overcoat",7.3,0.5
leavanny,Bug,Grass,75,103,80,70,80,92,"Swarm, Chlorophyll, Overcoat",20.5,1.2
venipede,Bug,Poison,30,45,59,30,39,57,"Poison Point, Swarm, Speed Boost",5.3,0.4
whirlipede,Bug,Poison,40,55,99,40,79,47,"Poison Point, Swarm, Speed Boost",58.5,1.2
scolipede,Bug,Poison,60,100,89,55,69,112,"Poison Point, Swarm, Speed Boost",200.5,2.5
cottonee,Grass,Fairy,40,27,60,37,50,66,"Prankster, Infiltrator, Chlorophyll",0.6,0.3
whimsicott,Grass,Fairy,60,67,85,77,75,116,"Prankster, Infiltrator, Chlorophyll",6.6,0.7
petilil,Grass,,45,35,50,70,50,30,"Chlorophyll, Own Tempo, Leaf Guard",6.6,0.5
lilligant,Grass,,70,60,75,110,75,90,"Chlorophyll, Own Tempo, Leaf Guard",16.3,1.1
lilliganthisui,Grass,Fighting,70,105,75,50,75,105,"Chlorophyll, Hustle, Leaf Guard",19.2,1.2
basculin,Water,,70,92,65,80,55,98,"Reckless, Adaptability, Mold Breaker",18,1
basculinbluestriped,Water,,70,92,65,80,55,98,"Rock Head, Adaptability, Mold Breaker",18,1
basculinwhitestriped,Water,,70,92,65,80,55,98,"Rattled, Adaptability, Mold Breaker",18,1
sandile,Ground,Dark,50,72,35,35,35,65,"Intimidate, Moxie, Anger Point",15.2,0.7
krokorok,Ground,Dark,60,82,45,45,45,74,"Intimidate, Moxie, Anger Point",33.4,1
krookodile,Ground,Dark,95,117,80,65,70,92,"Intimidate, Moxie, Anger Point",96.3,1.5
darumaka,Fire,,70,90,45,15,45,50,"Hustle, Inner Focus",37.5,0.6
darumakagalar,Ice,,70,90,45,15,45,50,"Hustle, Inner Focus",40,0.7
darmanitan,Fire,,105,140,55,30,55,95,"Sheer Force, Zen Mode",92.9,1.3
darmanitanzen,Fire,Psychic,105,30,105,140,105,55,Zen Mode,92.9,1.3
darmanitangalar,Ice,,105,140,55,30,55,95,"Gorilla Tactics, Zen Mode",120,1.7
darmanitangalarzen,Ice,Fire,105,160,55,30,55,135,Zen Mode,120,1.7
maractus,Grass,,75,86,67,106,67,60,"Water Absorb, Chlorophyll, Storm Drain",28,1
dwebble,Bug,Rock,50,65,85,35,35,55,"Sturdy, Shell Armor, Weak Armor",14.5,0.3
crustle,Bug,Rock,70,105,125,65,75,45,"Sturdy, Shell Armor, Weak Armor",200,1.4
scraggy,Dark,Fighting,50,75,70,35,70,48,"Shed Skin, Moxie, Intimidate",11.8,0.6
scrafty,Dark,Fighting,65,90,115,45,115,58,"Shed Skin, Moxie, Intimidate",30,1.1
sigilyph,Psychic,Flying,72,58,80,103,80,97,"Wonder Skin, Magic Guard, Tinted Lens",14,1.4
yamask,Ghost,,38,30,85,55,65,30,Mummy,1.5,0.5
yamaskgalar,Ground,Ghost,38,55,85,30,65,30,Wandering Spirit,1.5,0.5
cofagrigus,Ghost,,58,50,145,95,105,30,Mummy,76.5,1.7
tirtouga,Water,Rock,54,78,103,53,45,22,"Solid Rock, Sturdy, Swift Swim",16.5,0.7
carracosta,Water,Rock,74,108,133,83,65,32,"Solid Rock, Sturdy, Swift Swim",81,1.2
archen,Rock,Flying,55,112,45,74,45,70,Defeatist,9.5,0.5
archeops,Rock,Flying,75,140,65,112,65,110,Defeatist,32,1.4
trubbish,Poison,,50,50,62,40,62,65,"Stench, Sticky Hold, Aftermath",31,0.6
garbodor,Poison,,80,95,82,60,82,75,"Stench, Weak Armor, Aftermath",107.3,1.9
garbodorgmax,Poison,,80,95,82,60,82,75,"Stench, Weak Armor, Aftermath",0,21
zorua,Dark,,40,65,40,80,40,65,Illusion,12.5,0.7
zoruahisui,Normal,Ghost,35,60,40,85,40,70,Illusion,12.5,0.7
zoroark,Dark,,60,105,60,120,60,105,Illusion,81.1,1.6
zoroarkhisui,Normal,Ghost,55,100,60,125,60,110,Illusion,73,1.6
minccino,Normal,,55,50,40,40,40,75,"Cute Charm, Technician, Skill Link",5.8,0.4
cinccino,Normal,,75,95,60,65,60,115,"Cute Charm, Technician, Skill Link",7.5,0.5
gothita,Psychic,,45,30,50,55,65,45,"Frisk, Competitive, Shadow Tag",5.8,0.4
gothorita,Psychic,,60,45,70,75,85,55,"Frisk, Competitive, Shadow Tag",18,0.7
gothitelle,Psychic,,70,55,95,95,110,65,"Frisk, Competitive, Shadow Tag",44,1.5
solosis,Psychic,,45,30,40,105,50,20,"Overcoat, Magic Guard, Regenerator",1,0.3
duosion,Psychic,,65,40,50,125,60,30,"Overcoat, Magic Guard, Regenerator",8,0.6
reuniclus,Psychic,,110,65,75,125,85,30,"Overcoat, Magic Guard, Regenerator",20.1,1
ducklett,Water,Flying,62,44,50,44,50,55,"Keen Eye, Big Pecks, Hydration",5.5,0.5
swanna,Water,Flying,75,87,63,87,63,98,"Keen Eye, Big Pecks, Hydration",24.2,1.3
vanillite,Ice,,36,50,50,65,60,44,"Ice Body, Snow Cloak, Weak Armor",5.7,0.4
vanillish,Ice,,51,65,65,80,75,59,"Ice Body, Snow Cloak, Weak Armor",41,1.1
vanilluxe,Ice,,71,95,85,110,95,79,"Ice Body, Snow Warning, Weak Armor",57.5,1.3
deerling,Normal,Grass,60,60,50,40,50,75,"Chlorophyll, Sap Sipper, Serene Grace",19.5,0.6
sawsbuck,Normal,Grass,80,100,70,60,70,95,"Chlorophyll, Sap Sipper, Serene Grace",92.5,1.9
emolga,Electric,Flying,55,75,60,75,60,103,"Static, Motor Drive",5,0.4
karrablast,Bug,,50,75,45,40,45,60,"Swarm, Shed Skin, No Guard",5.9,0.5
escavalier,Bug,Steel,70,135,105,60,105,20,"Swarm, Shell Armor, Overcoat",33,1
foongus,Grass,Poison,69,55,45,55,55,15,"Effect Spore, Regenerator",1,0.2
amoonguss,Grass,Poison,114,85,70,85,80,30,"Effect Spore, Regenerator",10.5,0.6
frillish,Water,Ghost,55,40,50,65,85,40,"Water Absorb, Cursed Body, Damp",33,1.2
jellicent,Water,Ghost,100,60,70,85,105,60,"Water Absorb, Cursed Body, Damp",135,2.2
alomomola,Water,,165,75,80,40,45,65,"Healer, Hydration, Regenerator",31.6,1.2
joltik,Bug,Electric,50,47,50,57,50,65,"Compound Eyes, Unnerve, Swarm",0.6,0.1
galvantula,Bug,Electric,70,77,60,97,60,108,"Compound Eyes, Unnerve, Swarm",14.3,0.8
ferroseed,Grass,Steel,44,50,91,24,86,10,Iron Barbs,18.8,0.6
ferrothorn,Grass,Steel,74,94,131,54,116,20,"Iron Barbs, Anticipation",110,1
klink,Steel,,40,55,70,45,60,30,"Plus, Minus, Clear Body",21,0.3
klang,Steel,,60,80,95,70,85,50,"Plus, Minus, Clear Body",51,0.6
klinklang,Steel,,60,100,115,70,85,90,"Plus, Minus, Clear Body",81,0.6
tynamo,Electric,,35,55,40,45,40,60,Levitate,0.3,0.2
eelektrik,Electric,,65,85,70,75,70,40,Levitate,22,1.2
eelektross,Electric,,85,115,80,105,80,50,Levitate,80.5,2.1
elgyem,Psychic,,55,55,55,85,55,30,"Telepathy, Synchronize, Analytic",9,0.5
beheeyem,Psychic,,75,75,75,125,95,40,"Telepathy, Synchronize, Analytic",34.5,1
litwick,Ghost,Fire,50,30,55,65,55,20,"Flash Fire, Flame Body, Infiltrator",3.1,0.3
lampent,Ghost,Fire,60,40,60,95,60,55,"Flash Fire, Flame Body, Infiltrator",13,0.6
chandelure,Ghost,Fire,60,55,90,145,90,80,"Flash Fire, Flame Body, Infiltrator",34.3,1
axew,Dragon,,46,87,60,30,40,57,"Rivalry, Mold Breaker, Unnerve",18,0.6
fraxure,Dragon,,66,117,70,40,50,67,"Rivalry, Mold Breaker, Unnerve",36,1
haxorus,Dragon,,76,147,90,60,70,97,"Rivalry, Mold Breaker, Unnerve",105.5,1.8
cubchoo,Ice,,55,70,40,60,40,40,"Snow Cloak, Slush Rush, Rattled",8.5,0.5
beartic,Ice,,95,130,80,70,80,50,"Snow Cloak, Slush Rush, Swift Swim",260,2.6
cryogonal,Ice,,80,50,50,95,135,105,Levitate,148,1.1
shelmet,Bug,,50,40,85,40,65,25,"Hydration, Shell Armor, Overcoat",7.7,0.4
accelgor,Bug,,80,70,40,100,60,145,"Hydration, Sticky Hold, Unburden",25.3,0.8
stunfisk,Ground,Electric,109,66,84,81,99,32,"Static, Limber, Sand Veil",11,0.7
stunfiskgalar,Ground,Steel,109,81,99,66,84,32,Mimicry,20.5,0.7
mienfoo,Fighting,,45,85,50,55,50,65,"Inner Focus, Regenerator, Reckless",20,0.9
mienshao,Fighting,,65,125,60,95,60,105,"Inner Focus, Regenerator, Reckless",35.5,1.4
druddigon,Dragon,,77,120,90,60,90,48,"Rough Skin, Sheer Force, Mold Breaker",139,1.6
golett,Ground,Ghost,59,74,50,35,50,35,"Iron Fist, Klutz, No Guard",92,1
golurk,Ground,Ghost,89,124,80,55,80,55,"Iron Fist, Klutz, No Guard",330,2.8
pawniard,Dark,Steel,45,85,70,40,40,60,"Defiant, Inner Focus, Pressure",10.2,0.5
bisharp,Dark,Steel,65,125,100,60,70,70,"Defiant, Inner Focus, Pressure",70,1.6
bouffalant,Normal,,95,110,95,40,95,55,"Reckless, Sap Sipper, Soundproof",94.6,1.6
rufflet,Normal,Flying,70,83,50,37,50,60,"Keen Eye, Sheer Force, Hustle",10.5,0.5
braviary,Normal,Flying,100,123,75,57,75,80,"Keen Eye, Sheer Force, Defiant",41,1.5
braviaryhisui,Psychic,Flying,110,83,70,112,70,65,"Keen Eye, Sheer Force, Tinted Lens",43.4,1.7
vullaby,Dark,Flying,70,55,75,45,65,60,"Big Pecks, Overcoat, Weak Armor",9,0.5
mandibuzz,Dark,Flying,110,65,105,55,95,80,"Big Pecks, Overcoat, Weak Armor",39.5,1.2
heatmor,Fire,,85,97,66,105,66,65,"Gluttony, Flash Fire, White Smoke",58,1.4
durant,Bug,Steel,58,109,112,48,48,109,"Swarm, Hustle, Truant",33,0.3
deino,Dark,Dragon,52,65,50,45,50,38,Hustle,17.3,0.8
zweilous,Dark,Dragon,72,85,70,65,70,58,Hustle,50,1.4
hydreigon,Dark,Dragon,92,105,90,125,90,98,Levitate,160,1.8
larvesta,Bug,Fire,55,85,55,50,55,60,"Flame Body, Swarm",28.8,1.1
volcarona,Bug,Fire,85,60,65,135,105,100,"Flame Body, Swarm",46,1.6
cobalion,Steel,Fighting,91,90,129,90,72,108,Justified,250,2.1
terrakion,Rock,Fighting,91,129,90,72,90,108,Justified,260,1.9
virizion,Grass,Fighting,91,90,72,90,129,108,Justified,200,2
tornadus,Flying,,79,115,70,125,80,111,"Prankster, Defiant",63,1.5
tornadustherian,Flying,,79,100,80,110,90,121,Regenerator,63,1.4
thundurus,Electric,Flying,79,115,70,125,80,111,"Prankster, Defiant",61,1.5
thundurustherian,Electric,Flying,79,105,70,145,80,101,Volt Absorb,61,3
reshiram,Dragon,Fire,100,120,100,150,120,90,Turboblaze,330,3.2
zekrom,Dragon,Electric,100,150,120,120,100,90,Teravolt,345,2.9
landorus,Ground,Flying,89,125,90,115,80,101,"Sand Force, Sheer Force",68,1.5
landorustherian,Ground,Flying,89,145,90,105,80,91,Intimidate,68,1.3
kyurem,Dragon,Ice,125,130,90,130,90,95,Pressure,325,3
kyuremblack,Dragon,Ice,125,170,100,120,90,95,Teravolt,325,3.3
kyuremwhite,Dragon,Ice,125,120,90,170,100,95,Turboblaze,325,3.6
keldeo,Water,Fighting,91,72,90,129,90,108,Justified,48.5,1.4
keldeoresolute,Water,Fighting,91,72,90,129,90,108,Justified,48.5,1.4
meloetta,Normal,Psychic,100,77,77,128,128,90,Serene Grace,6.5,0.6
meloettapirouette,Normal,Fighting,100,128,90,77,77,128,Serene Grace,6.5,0.6
genesect,Bug,Steel,71,120,95,120,95,99,Download,82.5,1.5
genesectdouse,Bug,Steel,71,120,95,120,95,99,Download,82.5,1.5
genesectshock,Bug,Steel,71,120,95,120,95,99,Download,82.5,1.5
genesectburn,Bug,Steel,71,120,95,120,95,99,Download,82.5,1.5
genesectchill,Bug,Steel,71,120,95,120,95,99,Download,82.5,1.5
chespin,Grass,,56,61,65,48,45,38,"Overgrow, Bulletproof",9,0.4
quilladin,Grass,,61,78,95,56,58,57,"Overgrow, Bulletproof",29,0.7
chesnaught,Grass,Fighting,88,107,122,74,75,64,"Overgrow, Bulletproof",90,1.6
fennekin,Fire,,40,45,40,62,60,60,"Blaze, Magician",9.4,0.4
braixen,Fire,,59,59,58,90,70,73,"Blaze, Magician",14.5,1
delphox,Fire,Psychic,75,69,72,114,100,104,"Blaze, Magician",39,1.5
froakie,Water,,41,56,40,62,44,71,"Torrent, Protean",7,0.3
frogadier,Water,,54,63,52,83,56,97,"Torrent, Protean",10.9,0.6
greninja,Water,Dark,72,95,67,103,71,122,"Torrent, Protean, Battle Bond",40,1.5
greninjabond,Water,Dark,72,95,67,103,71,122,Battle Bond,40,1.5
greninjaash,Water,Dark,72,145,67,153,71,132,Battle Bond,40,1.5
bunnelby,Normal,,38,36,38,32,36,57,"Pickup, Cheek Pouch, Huge Power",5,0.4
diggersby,Normal,Ground,85,56,77,50,77,78,"Pickup, Cheek Pouch, Huge Power",42.4,1
fletchling,Normal,Flying,45,50,43,40,38,62,"Big Pecks, Gale Wings",1.7,0.3
fletchinder,Fire,Flying,62,73,55,56,52,84,"Flame Body, Gale Wings",16,0.7
talonflame,Fire,Flying,78,81,71,74,69,126,"Flame Body, Gale Wings",24.5,1.2
scatterbug,Bug,,38,35,40,27,25,35,"Shield Dust, Compound Eyes, Friend Guard",2.5,0.3
spewpa,Bug,,45,22,60,27,30,29,"Shed Skin, Friend Guard",8.4,0.3
vivillon,Bug,Flying,80,52,50,90,50,89,"Shield Dust, Compound Eyes, Friend Guard",17,1.2
vivillonfancy,Bug,Flying,80,52,50,90,50,89,"Shield Dust, Compound Eyes, Friend Guard",17,1.2
vivillonpokeball,Bug,Flying,80,52,50,90,50,89,"Shield Dust, Compound Eyes, Friend Guard",17,1.2
litleo,Fire,Normal,62,50,58,73,54,72,"Rivalry, Unnerve, Moxie",13.5,0.6
pyroar,Fire,Normal,86,68,72,109,66,106,"Rivalry, Unnerve, Moxie",81.5,1.5
flabebe,Fairy,,44,38,39,61,79,42,"Flower Veil, Symbiosis",0.1,0.1
floette,Fairy,,54,45,47,75,98,52,"Flower Veil, Symbiosis",0.9,0.2
floetteeternal,Fairy,,74,65,67,125,128,92,Flower Veil,0.9,0.2
florges,Fairy,,78,65,68,112,154,75,"Flower Veil, Symbiosis",10,1.1
skiddo,Grass,,66,65,48,62,57,52,"Sap Sipper, Grass Pelt",31,0.9
gogoat,Grass,,123,100,62,97,81,68,"Sap Sipper, Grass Pelt",91,1.7
pancham,Fighting,,67,82,62,46,48,43,"Iron Fist, Mold Breaker, Scrappy",8,0.6
pangoro,Fighting,Dark,95,124,78,69,71,58,"Iron Fist, Mold Breaker, Scrappy",136,2.1
furfrou,Normal,,75,80,60,65,90,102,Fur Coat,28,1.2
espurr,Psychic,,62,48,54,63,60,68,"Keen Eye, Infiltrator, Own Tempo",3.5,0.3
meowstic,Psychic,,74,48,76,83,81,104,"Keen Eye, Infiltrator, Prankster",8.5,0.6
meowsticf,Psychic,,74,48,76,83,81,104,"Keen Eye, Infiltrator, Competitive",8.5,0.6
honedge,Steel,Ghost,45,80,100,35,37,28,No Guard,2,0.8
doublade,Steel,Ghost,59,110,150,45,49,35,No Guard,4.5,0.8
aegislash,Steel,Ghost,60,50,140,50,140,60,Stance Change,53,1.7
aegislashblade,Steel,Ghost,60,140,50,140,50,60,Stance Change,53,1.7
spritzee,Fairy,,78,52,60,63,65,23,"Healer, Aroma Veil",0.5,0.2
aromatisse,Fairy,,101,72,72,99,89,29,"Healer, Aroma Veil",15.5,0.8
swirlix,Fairy,,62,48,66,59,57,49,"Sweet Veil, Unburden",3.5,0.4
slurpuff,Fairy,,82,80,86,85,75,72,"Sweet Veil, Unburden",5,0.8
inkay,Dark,Psychic,53,54,53,37,46,45,"Contrary, Suction Cups, Infiltrator",3.5,0.4
malamar,Dark,Psychic,86,92,88,68,75,73,"Contrary, Suction Cups, Infiltrator",47,1.5
binacle,Rock,Water,42,52,67,39,56,50,"Tough Claws, Sniper, Pickpocket",31,0.5
barbaracle,Rock,Water,72,105,115,54,86,68,"Tough Claws, Sniper, Pickpocket",96,1.3
skrelp,Poison,Water,50,60,60,60,60,30,"Poison Point, Poison Touch, Adaptability",7.3,0.5
dragalge,Poison,Dragon,65,75,90,97,123,44,"Poison Point, Poison Touch, Adaptability",81.5,1.8
clauncher,Water,,50,53,62,58,63,44,Mega Launcher,8.3,0.5
clawitzer,Water,,71,73,88,120,89,59,Mega Launcher,35.3,1.3
helioptile,Electric,Normal,44,38,33,61,43,70,"Dry Skin, Sand Veil, Solar Power",6,0.5
heliolisk,Electric,Normal,62,55,52,109,94,109,"Dry Skin, Sand Veil, Solar Power",21,1
tyrunt,Rock,Dragon,58,89,77,45,45,48,"Strong Jaw, Sturdy",26,0.8
tyrantrum,Rock,Dragon,82,121,119,69,59,71,"Strong Jaw, Rock Head",270,2.5
amaura,Rock,Ice,77,59,50,67,63,46,"Refrigerate, Snow Warning",25.2,1.3
aurorus,Rock,Ice,123,77,72,99,92,58,"Refrigerate, Snow Warning",225,2.7
sylveon,Fairy,,95,65,65,110,130,60,"Cute Charm, Pixilate",23.5,1
hawlucha,Fighting,Flying,78,92,75,74,63,118,"Limber, Unburden, Mold Breaker",21.5,0.8
dedenne,Electric,Fairy,67,58,57,81,67,101,"Cheek Pouch, Pickup, Plus",2.2,0.2
carbink,Rock,Fairy,50,50,150,50,150,50,"Clear Body, Sturdy",5.7,0.3
goomy,Dragon,,45,50,35,55,75,40,"Sap Sipper, Hydration, Gooey",2.8,0.3
sliggoo,Dragon,,68,75,53,83,113,60,"Sap Sipper, Hydration, Gooey",17.5,0.8
sliggoohisui,Steel,Dragon,58,75,83,83,113,40,"Sap Sipper, Shell Armor, Gooey",68.5,0.7
goodra,Dragon,,90,100,70,110,150,80,"Sap Sipper, Hydration, Gooey",150.5,2
goodrahisui,Steel,Dragon,80,100,100,110,150,60,"Sap Sipper, Shell Armor, Gooey",334.1,1.7
klefki,Steel,Fairy,57,80,91,80,87,75,"Prankster, Magician",3,0.2
phantump,Ghost,Grass,43,70,48,50,60,38,"Natural Cure, Frisk, Harvest",7,0.4
trevenant,Ghost,Grass,85,110,76,65,82,56,"Natural Cure, Frisk, Harvest",71,1.5
pumpkaboo,Ghost,Grass,49,66,70,44,55,51,"Pickup, Frisk, Insomnia",5,0.4
pumpkaboosmall,Ghost,Grass,44,66,70,44,55,56,"Pickup, Frisk, Insomnia",3.5,0.3
pumpkaboolarge,Ghost,Grass,54,66,70,44,55,46,"Pickup, Frisk, Insomnia",7.5,0.5
pumpkaboosuper,Ghost,Grass,59,66,70,44,55,41,"Pickup, Frisk, Insomnia",15,0.8
gourgeist,Ghost,Grass,65,90,122,58,75,84,"Pickup, Frisk, Insomnia",12.5,0.9
gourgeistsmall,Ghost,Grass,55,85,122,58,75,99,"Pickup, Frisk, Insomnia",9.5,0.7
gourgeistlarge,Ghost,Grass,75,95,122,58,75,69,"Pickup, Frisk, Insomnia",14,1.1
gourgeistsuper,Ghost,Grass,85,100,122,58,75,54,"Pickup, Frisk, Insomnia",39,1.7
bergmite,Ice,,55,69,85,32,35,28,"Own Tempo, Ice Body, Sturdy",99.5,1
avalugg,Ice,,95,117,184,44,46,28,"Own Tempo, Ice Body, Sturdy",505,2
