Name,link,Move 1,Move 2,Move 3,Move 4,Item,Ability,Nature,EVs,Formats
Arceus-Ghost,https://www.smogon.com/dex/sm/pokemon/arceus-ghost/,Swords Dance,Shadow Force,Stone Edge/Brick Break,Shadow Claw/Substitute,Ghostium Z,Multitype,Jolly,252 Atk/4 Def/252 Spe/,Uber/
Arceus-Grass,https://www.smogon.com/dex/sm/pokemon/arceus-grass/,Grass Knot,Ice Beam,Fire Blast,Recover,Meadow Plate,Multitype,Timid,80 HP/176 SpA/252 Spe/,Uber/
Arceus-Ground,https://www.smogon.com/dex/sm/pokemon/arceus-ground/,Swords Dance,Earthquake,Stone Edge,Substitute/Recover,Earth Plate,Multitype,Jolly,252 Atk/4 Def/252 Spe/,Uber/AG/Mix and Mega/
Arceus-Ice,https://www.smogon.com/dex/sm/pokemon/arceus-ice/,Calm Mind,Recover,Judgment,Fire Blast/Thunder,Icicle Plate,Multitype,Timid,172 HP/84 SpA/252 Spe/,Uber/
Arceus-Poison,https://www.smogon.com/dex/sm/pokemon/arceus-poison/,Calm Mind,Sludge Bomb,Recover,Fire Blast/Earth Power,Toxic Plate,Multitype,Timid,248 HP/8 SpD/252 Spe/,Uber/AG/
Arceus-Psychic,https://www.smogon.com/dex/sm/pokemon/arceus-psychic/,Judgment,Will-O-Wisp,Recover,Toxic/Ice Beam,Mind Plate,Multitype,Timid,252 HP/4 Def/252 Spe/,Uber/
Arceus-Rock,https://www.smogon.com/dex/sm/pokemon/arceus-rock/,Judgment,Will-O-Wisp,Recover,Stealth Rock,Stone Plate,Multitype,Timid,252 HP/16 Def/144 SpA/96 Spe/,Uber/AG/
Arceus-Steel,https://www.smogon.com/dex/sm/pokemon/arceus-steel/,Swords Dance,Iron Head,Earthquake,Recover/Stone Edge,Steelium Z,Multitype,Jolly,252 Atk/4 Def/252 Spe/,Uber/AG/
Arceus-Water,https://www.smogon.com/dex/sm/pokemon/arceus-water/,Stealth Rock,Judgment,Ice Beam,Recover,Splash Plate,Multitype,Timid,252 HP/16 Def/144 SpA/96 Spe/,Uber/AG/
Arceus-Fairy,https://www.smogon.com/dex/sm/pokemon/arceus-fairy/,Judgment,Stealth Rock,Recover,Toxic/Will-O-Wisp,Pixie Plate,Multitype,Timid,252 HP/4 Def/252 Spe/,Uber/AG/
Victini,https://www.smogon.com/dex/sm/pokemon/victini/,Celebrate,Searing Shot,Stored Power,Focus Blast,Normalium Z,Victory Star,Timid,252 SpA/4 SpD/252 Spe/,OU/Monotype/Doubles/Mix and Mega/1v1/
Snivy,https://www.smogon.com/dex/sm/pokemon/snivy/,Leaf Storm,Defog/Giga Drain,Defog/Knock Off,Hidden Power/Hidden Power,Choice Scarf,Contrary,Timid,240 SpA/252 Spe/,LC/
Servine,https://www.smogon.com/dex/sm/pokemon/servine/,Leaf Storm,Knock Off,Synthesis/Glare,Synthesis/Hidden Power,Eviolite,Contrary,Calm,252 SpA/4 SpD/252 Spe/,NFE/PU/ZU/
Serperior,https://www.smogon.com/dex/sm/pokemon/serperior/,Leaf Storm,Glare,Hidden Power/Defog,Hidden Power/Knock Off,Choice Scarf,Contrary,Timid,252 SpA/4 SpD/252 Spe/,OU/Monotype/Battle Spot Singles/1v1/
Tepig,https://www.smogon.com/dex/sm/pokemon/tepig/,Flare Blitz,Wild Charge/Head Smash,Sucker Punch,Flame Charge/Superpower,Life Orb,Thick Fat,Jolly,252 Atk/236 Spe/,LC/
Pignite,https://www.smogon.com/dex/sm/pokemon/pignite/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Charmeleon,https://www.smogon.com/dex/sm/pokemon/charmeleon/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Diglett,https://www.smogon.com/dex/sm/pokemon/diglett/,Earthquake,Memento/Sucker Punch,Rock Slide,Stealth Rock/Reversal/Memento,Focus Sash,Arena Trap,Jolly,36 HP/236 Atk/236 Spe/,LC/
Diglett-Alola,https://www.smogon.com/dex/sm/pokemon/diglett-alola/,Iron Head,Earthquake,Rock Slide,Substitute,Life Orb,Sand Force,Jolly,36 HP/236 Atk/36 Def/196 Spe/,LC/
Emboar,https://www.smogon.com/dex/sm/pokemon/emboar/,Flare Blitz,Superpower,Wild Charge,Sucker Punch/Earthquake,Choice Band,Reckless,Jolly,252 Atk/4 Def/252 Spe/,RU/1v1/
Oshawott,https://www.smogon.com/dex/sm/pokemon/oshawott/,Swords Dance,Aerial Ace/Sacred Sword,Aqua Jet,Aqua Tail,Life Orb,Torrent,Jolly,236 Atk/236 Spe/,LC/
Dewott,https://www.smogon.com/dex/sm/pokemon/dewott/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Samurott,https://www.smogon.com/dex/sm/pokemon/samurott/,Swords Dance,Liquidation,Aqua Jet,Megahorn,Waterium Z,Torrent,Jolly,252 Atk/4 SpD/252 Spe/,NU/
Patrat,https://www.smogon.com/dex/sm/pokemon/patrat/,Swords Dance,Hypnosis,Return,Crunch/Zen Headbutt,Eviolite,Analytic,Adamant,236 Atk/204 Def/44 SpD/20 Spe/,LC/
Watchog,https://www.smogon.com/dex/sm/pokemon/watchog/,Return,Low Kick,Knock Off,Seed Bomb,Life Orb,Analytic,Jolly,252 Atk/4 Def/252 Spe/,PU/
Lillipup,https://www.smogon.com/dex/sm/pokemon/lillipup/,Return,Play Rough,Fire Fang,Thunder Wave,Eviolite,Vital Spirit,Jolly,196 Atk/76 Def/236 Spe/,LC/
Herdier,https://www.smogon.com/dex/sm/pokemon/herdier/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Stoutland,https://www.smogon.com/dex/sm/pokemon/stoutland/,Return,Superpower,Pursuit,Facade,Choice Band,Scrappy,Jolly,252 Atk/4 Def/252 Spe/,PU/RU/
Purrloin,https://www.smogon.com/dex/sm/pokemon/purrloin/,Encore,U-turn,Knock Off,Taunt/Thunder Wave,Berry Juice,Prankster,Careful,188 HP/36 Atk/140 Def/60 SpD/68 Spe/,LC/
Dugtrio,https://www.smogon.com/dex/sm/pokemon/dugtrio/,Earthquake,Toxic,Stealth Rock,Memento,Focus Sash,Sand Force,Jolly,252 Atk/4 SpD/252 Spe/,ZU/Uber/PU/Monotype/
Dugtrio-Alola,https://www.smogon.com/dex/sm/pokemon/dugtrio-alola/,Earthquake,Iron Head,Sucker Punch,Memento/Pursuit,Life Orb,Tangling Hair,Jolly,252 Atk/4 SpD/252 Spe/,PU/LGPE OU/
Liepard,https://www.smogon.com/dex/sm/pokemon/liepard/,Knock Off,Sunny Day/Rain Dance,Thunder Wave/Encore,U-turn,Heat Rock,Prankster,Jolly,252 Atk/4 Def/252 Spe/,PU/
Pansage,https://www.smogon.com/dex/sm/pokemon/pansage/,Bullet Seed,Knock Off,Low Sweep,Gunk Shot,Life Orb,Overgrow,Jolly,252 Atk/244 Spe/,LC/
Simisage,https://www.smogon.com/dex/sm/pokemon/simisage/,Nasty Plot,Energy Ball/Giga Drain,Focus Blast,Hidden Power,Life Orb,Overgrow,Timid,4 Def/252 SpA/252 Spe/,ZU/PU/
Pansear,https://www.smogon.com/dex/sm/pokemon/pansear/,Recycle,Will-O-Wisp,Substitute,Flame Charge,Berry Juice,Blaze,Jolly,36 HP/12 Atk/212 Def/212 SpD/4 Spe/,LC/
Simisear,https://www.smogon.com/dex/sm/pokemon/simisear/,Nasty Plot,Fire Blast,Hidden Power/Substitute/Taunt,Focus Blast/Grass Knot,Life Orb,Blaze,Timid,4 Def/252 SpA/252 Spe/,ZU/PU/
Panpour,https://www.smogon.com/dex/sm/pokemon/panpour/,Nasty Plot,Hydro Pump,Ice Beam,Hidden Power,Eviolite,Torrent,Timid,36 HP/52 Def/176 SpA/244 Spe/,LC/
Simipour,https://www.smogon.com/dex/sm/pokemon/simipour/,Nasty Plot,Hydro Pump,Ice Beam,Focus Blast/Substitute,Waterium Z,Torrent,Timid,252 SpA/4 SpD/252 Spe/,ZU/PU/
Munna,https://www.smogon.com/dex/sm/pokemon/munna/,Calm Mind,Stored Power,Dazzling Gleam,Moonlight,Eviolite,Synchronize,Bold,68 HP/156 Def/60 SpA/156 SpD/4 Spe/,LC/
Musharna,https://www.smogon.com/dex/sm/pokemon/musharna/,Calm Mind,Barrier,Rest,Stored Power/Dazzling Gleam,Leftovers,Synchronize,Bold,252 HP/252 Def/4 SpA/,PU/1v1/
Pidove,https://www.smogon.com/dex/sm/pokemon/pidove/,Tailwind,Aerial Ace,U-turn/Hidden Power,Return,Flyinium Z,Super Luck,Adamant,240 Atk/252 Spe/,LC/
Meowth,https://www.smogon.com/dex/sm/pokemon/meowth/,Fake Out,Return/Feint,Water Pulse,U-turn/Knock Off/Aerial Ace,Life Orb,Technician,Hasty,19 HP/,LC/
Meowth-Alola,https://www.smogon.com/dex/sm/pokemon/meowth-alola/,Nasty Plot,Dark Pulse,Hidden Power,Parting Shot/Thunderbolt,Life Orb,Technician,Timid,19 HP/,LC/
Tranquill,https://www.smogon.com/dex/sm/pokemon/tranquill/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Unfezant,https://www.smogon.com/dex/sm/pokemon/unfezant/,Tailwind,Hypnosis,U-turn,Return,Scope Lens,Super Luck,Adamant,252 Atk/4 Def/252 Spe/,PU/
Blitzle,https://www.smogon.com/dex/sm/pokemon/blitzle/,Wild Charge,Double-Edge/Volt Switch,Flame Charge,Hidden Power,Life Orb,Sap Sipper,Naive,9 HP/,LC/
Zebstrika,https://www.smogon.com/dex/sm/pokemon/zebstrika/,Thunderbolt,Volt Switch,Overheat,Hidden Power,Life Orb,Sap Sipper,Timid,29 HP/,ZU/PU/
Roggenrola,https://www.smogon.com/dex/sm/pokemon/roggenrola/,Stealth Rock,Rock Blast,Earthquake,Explosion,Eviolite,Weak Armor,Jolly,156 Atk/76 Def/76 SpD/156 Spe/,LC/
Boldore,https://www.smogon.com/dex/sm/pokemon/boldore/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Gigalith,https://www.smogon.com/dex/sm/pokemon/gigalith/,Stealth Rock,Rock Blast/Stone Edge,Earthquake,Toxic,Leftovers,Sand Stream,Careful,252 HP/4 Def/252 SpD/,RU/Battle Spot Singles/VGC17/1v1/
Woobat,https://www.smogon.com/dex/sm/pokemon/woobat/,Calm Mind,Stored Power,Air Slash/Heat Wave,Substitute/Roost,Salac Berry,Simple,Timid,76 HP/12 Def/236 SpA/180 Spe/,LC/
Swoobat,https://www.smogon.com/dex/sm/pokemon/swoobat/,Substitute,Calm Mind,Stored Power,Heat Wave,Salac Berry,Simple,Timid,4 HP/252 SpA/252 Spe/,ZU/PU/
Drilbur,https://www.smogon.com/dex/sm/pokemon/drilbur/,Earthquake,Rock Slide,Shadow Claw,Poison Jab/Rapid Spin,Groundium Z,Mold Breaker,Jolly,36 HP/236 Atk/212 Spe/,LC/
Persian,https://www.smogon.com/dex/sm/pokemon/persian/,Nasty Plot,Hyper Voice,Hidden Power,Substitute/Water Pulse,Normalium Z,Technician,Timid,4 Def/252 SpA/252 Spe/,PU/
Persian-Alola,https://www.smogon.com/dex/sm/pokemon/persian-alola/,Parting Shot,Taunt,Foul Play,Toxic,Darkinium Z,Fur Coat,Jolly,252 HP/4 Def/252 Spe/,PU/VGC17/
Excadrill,https://www.smogon.com/dex/sm/pokemon/excadrill/,Stealth Rock,Earthquake,Toxic/Rock Tomb,Rapid Spin,Focus Sash,Mold Breaker,Jolly,252 Atk/4 SpD/252 Spe/,OU/AG/Uber/Monotype/Doubles/Battle Spot Singles/VGC18/1v1/
Audino,https://www.smogon.com/dex/sm/pokemon/audino/,Wish,Protect,Toxic/Heal Bell,Dazzling Gleam/Knock Off,Audinite,Regenerator,Calm,252 HP/4 Def/252 SpD/,NU/PU/BH/1v1/
Timburr,https://www.smogon.com/dex/sm/pokemon/timburr/,Drain Punch,Mach Punch,Knock Off,Bulk Up,Eviolite,Iron Fist,Careful,116 Atk/156 Def/236 SpD/,LC/
Gurdurr,https://www.smogon.com/dex/sm/pokemon/gurdurr/,Drain Punch,Mach Punch,Knock Off,Bulk Up,Eviolite,Guts,Adamant,252 HP/44 Atk/212 Def/,PU/
Conkeldurr,https://www.smogon.com/dex/sm/pokemon/conkeldurr/,Drain Punch,Mach Punch,Knock Off,Facade,Flame Orb,Guts,Adamant,104 HP/252 Atk/152 Spe/,OU/VGC18/
Tympole,https://www.smogon.com/dex/sm/pokemon/tympole/,Rain Dance,Hydro Pump,Earth Power,Sludge Bomb,Life Orb,Swift Swim,Modest,116 Def/196 SpA/36 SpD/84 Spe/,LC/
Palpitoad,https://www.smogon.com/dex/sm/pokemon/palpitoad/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Seismitoad,https://www.smogon.com/dex/sm/pokemon/seismitoad/,Substitute,Toxic,Scald,Earthquake,Leftovers,Water Absorb,Timid,252 HP/24 Def/232 Spe/,NU/OU/UU/RU/Monotype/
Throh,https://www.smogon.com/dex/sm/pokemon/throh/,Bulk Up,Storm Throw,Knock Off,Substitute,Leftovers,Mold Breaker,Impish,128 HP/104 Def/152 SpD/124 Spe/,PU/
Sawk,https://www.smogon.com/dex/sm/pokemon/sawk/,Close Combat,Knock Off,Taunt,Earthquake/Poison Jab,Fightinium Z,Sturdy,Jolly,252 Atk/4 Def/252 Spe/,RU/NU/1v1/
Psyduck,https://www.smogon.com/dex/sm/pokemon/psyduck/,Hydro Pump,Psychic,Ice Beam,Scald/Hidden Power,Choice Scarf,Cloud Nine,Timid,240 SpA/240 Spe/,LC/
Sewaddle,https://www.smogon.com/dex/sm/pokemon/sewaddle/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Swadloon,https://www.smogon.com/dex/sm/pokemon/swadloon/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Leavanny,https://www.smogon.com/dex/sm/pokemon/leavanny/,Sticky Web,Leaf Blade,X-Scissor,Magic Coat/Knock Off,Focus Sash,Swarm,Jolly,252 Atk/4 Def/252 Spe/,PU/
Venipede,https://www.smogon.com/dex/sm/pokemon/venipede/,Spikes,Toxic Spikes/Solar Beam,Protect,Pin Missile,Eviolite,Speed Boost,Impish,76 Atk/204 Def/36 SpA/44 SpD/148 Spe/,LC/
Whirlipede,https://www.smogon.com/dex/sm/pokemon/whirlipede/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Scolipede,https://www.smogon.com/dex/sm/pokemon/scolipede/,Swords Dance,Megahorn,Aqua Tail,Earthquake,Waterium Z,Speed Boost,Jolly,252 Atk/4 Def/252 Spe/,OU/Monotype/1v1/
Cottonee,https://www.smogon.com/dex/sm/pokemon/cottonee/,Hidden Power/Giga Drain,Hidden Power/Dazzling Gleam,Knock Off/Encore,Tailwind/Knock Off/Memento,Eviolite,Prankster,Timid,36 HP/40 Def/144 SpA/40 SpD/232 Spe/,LC/
Whimsicott,https://www.smogon.com/dex/sm/pokemon/whimsicott/,Moonblast,Energy Ball,Psychic,U-turn,Choice Specs,Infiltrator,Timid,252 SpA/4 SpD/252 Spe/,NU/Monotype/VGC19/VGC17/1v1/
Petilil,https://www.smogon.com/dex/sm/pokemon/petilil/,Sunny Day,Giga Drain/Solar Beam,Hidden Power,Sleep Powder,Life Orb,Chlorophyll,Timid,36 Def/200 SpA/36 SpD/200 Spe/,LC/
Lilligant,https://www.smogon.com/dex/sm/pokemon/lilligant/,Quiver Dance,Hidden Power/Sleep Powder,Energy Ball/Giga Drain,Hyper Beam,Normalium Z,Chlorophyll,Timid,252 SpA/4 SpD/252 Spe/,NU/VGC17/
Golduck,https://www.smogon.com/dex/sm/pokemon/golduck/,Rain Dance,Hydro Pump,Ice Beam,Synchronoise,Waterium Z,Swift Swim,Modest,4 Def/252 SpA/252 Spe/,ZU/PU/VGC17/
Basculin,https://www.smogon.com/dex/sm/pokemon/basculin/,Liquidation,Ice Beam,Superpower,Aqua Jet,Life Orb,Adaptability,Naive,29 HP/,ZU/PU/
Basculin-Blue-Striped,https://www.smogon.com/dex/sm/pokemon/basculin-blue-striped/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Sandile,https://www.smogon.com/dex/sm/pokemon/sandile/,Earthquake,Crunch,Stone Edge/Fire Fang,Stone Edge/Pursuit,Choice Scarf,Moxie,Jolly,180 Atk/76 Def/236 Spe/,LC/
Krokorok,https://www.smogon.com/dex/sm/pokemon/krokorok/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Krookodile,https://www.smogon.com/dex/sm/pokemon/krookodile/,Stealth Rock,Knock Off,Earthquake,Pursuit/Taunt,Focus Sash,Intimidate,Jolly,252 Atk/4 Def/252 Spe/,UU/Monotype/VGC17/1v1/
Darumaka,https://www.smogon.com/dex/sm/pokemon/darumaka/,Flare Blitz,U-turn,Superpower,Zen Headbutt/Rock Slide,Choice Scarf,Hustle,Jolly,116 HP/196 Atk/196 Spe/,LC/
Darmanitan,https://www.smogon.com/dex/sm/pokemon/darmanitan/,Flare Blitz,U-turn,Earthquake,Fire Punch/Rock Slide,Choice Band,Sheer Force,Jolly,252 Atk/4 SpD/252 Spe/,UU/1v1/
Maractus,https://www.smogon.com/dex/sm/pokemon/maractus/,Spikes,Endeavor,Energy Ball,Sucker Punch,Focus Sash,Water Absorb,Naive,4 Atk/252 SpA/252 Spe/,PU/
Dwebble,https://www.smogon.com/dex/sm/pokemon/dwebble/,Shell Smash,Rock Blast,Earthquake,Aerial Ace/Knock Off/Substitute,Berry Juice,Sturdy,Adamant,236 Atk/236 Spe/,LC/
Crustle,https://www.smogon.com/dex/sm/pokemon/crustle/,Stealth Rock,Spikes,Knock Off,Rock Blast/Stone Edge,Custap Berry,Sturdy,Jolly,252 Atk/4 Def/252 Spe/,ZU/PU/1v1/
Scraggy,https://www.smogon.com/dex/sm/pokemon/scraggy/,High Jump Kick,Knock Off,Poison Jab,Zen Headbutt/Drain Punch,Choice Scarf,Moxie,Jolly,36 HP/236 Atk/212 Spe/,LC/
Mankey,https://www.smogon.com/dex/sm/pokemon/mankey/,Close Combat,Gunk Shot,U-turn,Earthquake,Choice Scarf,Defiant,Adamant,36 HP/196 Atk/76 Def/196 Spe/,LC/
Scrafty,https://www.smogon.com/dex/sm/pokemon/scrafty/,Dragon Dance,Knock Off,High Jump Kick,Drain Punch,Chople Berry,Moxie,Jolly,252 Atk/4 Def/252 Spe/,NU/Doubles/VGC18/1v1/
Sigilyph,https://www.smogon.com/dex/sm/pokemon/sigilyph/,Calm Mind,Air Slash,Roost,Stored Power/Cosmic Power,Flyinium Z,Magic Guard,Timid,252 HP/4 Def/252 Spe/,NU/RU/
Yamask,https://www.smogon.com/dex/sm/pokemon/yamask/,Will-O-Wisp,Hex,Knock Off,Toxic Spikes,Eviolite,Mummy,Relaxed,52 HP/36 Atk/156 Def/236 SpD/,LC/
Cofagrigus,https://www.smogon.com/dex/sm/pokemon/cofagrigus/,Shadow Ball,Hidden Power,Trick Room,Nasty Plot,Ghostium Z,Mummy,Quiet,0 Spe/,UU/RU/Monotype/
Tirtouga,https://www.smogon.com/dex/sm/pokemon/tirtouga/,Shell Smash,Aqua Jet/Waterfall,Stone Edge,Earthquake/Zen Headbutt,Berry Juice,Sturdy,Jolly,212 Atk/92 Def/180 Spe/,LC/
Carracosta,https://www.smogon.com/dex/sm/pokemon/carracosta/,Shell Smash,Stone Edge,Aqua Jet,Ice Beam/Superpower/Hydro Pump,White Herb,Solid Rock,Naughty,252 Atk/4 Def/252 Spe/,PU/1v1/
Archen,https://www.smogon.com/dex/sm/pokemon/archen/,Defog/Stealth Rock,Rock Slide,Acrobatics,Knock Off/Defog/Earthquake,Berry Juice,Defeatist,Jolly,76 HP/20 Atk/76 Def/76 SpD/196 Spe/,LC/
Archeops,https://www.smogon.com/dex/sm/pokemon/archeops/,Head Smash,Stealth Rock,Endeavor,Taunt,Focus Sash,Defeatist,Naive,0 HP/0 Def/0 SpD/,NU/1v1/
Trubbish,https://www.smogon.com/dex/sm/pokemon/trubbish/,Spikes,Recycle,Gunk Shot,Drain Punch,Berry Juice,Sticky Hold,Jolly,116 HP/36 Atk/100 Def/20 SpD/236 Spe/,LC/
Garbodor,https://www.smogon.com/dex/sm/pokemon/garbodor/,Gunk Shot,Spikes,Seed Bomb/Toxic Spikes,Pain Split,Rocky Helmet,Aftermath,Careful,252 HP/228 SpD/28 Spe/,NU/RU/
Primeape,https://www.smogon.com/dex/sm/pokemon/primeape/,Close Combat,U-turn,Stone Edge,Seed Bomb/Gunk Shot,Choice Band,Defiant,Jolly,252 Atk/4 Def/252 Spe/,PU/LGPE OU/
Zorua,https://www.smogon.com/dex/sm/pokemon/zorua/,Dark Pulse/Night Daze,Extrasensory,Knock Off/Nasty Plot,Knock Off/Hidden Power/U-turn,Life Orb,Illusion,Naive,36 Def/196 SpA/36 SpD/236 Spe/,LC/
Zoroark,https://www.smogon.com/dex/sm/pokemon/zoroark/,Nasty Plot,Dark Pulse,Focus Blast,Sludge Bomb,Fightinium Z,Illusion,Timid,252 SpA/4 SpD/252 Spe/,UU/
Minccino,https://www.smogon.com/dex/sm/pokemon/minccino/,Tail Slap,Knock Off,U-turn/Seed Bomb,Wake-Up Slap/U-turn,Life Orb,Skill Link,Jolly,196 Atk/36 Def/36 SpD/236 Spe/,LC/
Cinccino,https://www.smogon.com/dex/sm/pokemon/cinccino/,Tail Slap,Rock Blast,Bullet Seed,U-turn/Knock Off,Choice Band,Skill Link,Jolly,252 Atk/4 Def/252 Spe/,NU/
Gothita,https://www.smogon.com/dex/sm/pokemon/gothita/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Gothorita,https://www.smogon.com/dex/sm/pokemon/gothorita/,Charm,Confide,Taunt,Rest,Eviolite,Shadow Tag,Sassy,0 Spe/,Uber/
Gothitelle,https://www.smogon.com/dex/sm/pokemon/gothitelle/,Confide,Taunt,Rest,Charm,Leftovers,Shadow Tag,Calm,248 HP/8 Def/252 SpD/,AG/Uber/PU/Doubles/VGC18/
Solosis,https://www.smogon.com/dex/sm/pokemon/solosis/,Trick Room,Psychic,Thunder,Hidden Power,Life Orb,Magic Guard,Quiet,1 Atk/30 Def/30 SpA/30 SpD/0 Spe/,LC/
Duosion,https://www.smogon.com/dex/sm/pokemon/duosion/,Calm Mind,Psyshock/Psychic,Acid Armor/Signal Beam,Recover,Eviolite,Magic Guard,Bold,252 HP/252 Def/4 SpA/,ZU/
Reuniclus,https://www.smogon.com/dex/sm/pokemon/reuniclus/,Calm Mind,Acid Armor,Psyshock,Recover,Rocky Helmet,Magic Guard,Bold,252 HP/212 Def/44 Spe/,OU/UU/CAP/1v1/
Growlithe,https://www.smogon.com/dex/sm/pokemon/growlithe/,Will-O-Wisp,Morning Sun,Flare Blitz,Hidden Power/Wild Charge,Eviolite,Intimidate,Impish,76 HP/36 Atk/156 Def/196 SpD/36 Spe/,LC/
Ducklett,https://www.smogon.com/dex/sm/pokemon/ducklett/,Air Slash/Hurricane,Scald,Defog,Roost,Eviolite,Hydration,Bold,180 HP/116 Def/4 SpA/196 SpD/,LC/
Swanna,https://www.smogon.com/dex/sm/pokemon/swanna/,Mirror Move,Brave Bird,Liquidation,Roost/Aqua Jet,Flyinium Z,Big Pecks,Jolly,252 Atk/4 Def/252 Spe/,ZU/PU/
Vanillite,https://www.smogon.com/dex/sm/pokemon/vanillite/,Ice Beam,Hidden Power,Explosion,Substitute,Life Orb,Weak Armor,Modest,19 HP/1 Atk/30 Def/30 SpA/30 SpD/30 Spe/,LC/
Vanillish,https://www.smogon.com/dex/sm/pokemon/vanillish/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Vanilluxe,https://www.smogon.com/dex/sm/pokemon/vanilluxe/,Blizzard,Freeze-Dry,Ice Shard,Hidden Power/Taunt,Choice Specs,Snow Warning,Hasty,4 Atk/252 SpA/252 Spe/,RU/VGC17/
Deerling,https://www.smogon.com/dex/sm/pokemon/deerling/,Double-Edge/Return,Seed Bomb,Jump Kick,Wild Charge/Substitute,Life Orb,Sap Sipper,Jolly,36 HP/196 Atk/36 Def/236 Spe/,LC/
Sawsbuck,https://www.smogon.com/dex/sm/pokemon/sawsbuck/,Horn Leech,Double-Edge,Jump Kick,Swords Dance,Normalium Z,Sap Sipper,Jolly,252 Atk/4 SpD/252 Spe/,ZU/PU/
Emolga,https://www.smogon.com/dex/sm/pokemon/emolga/,Thunderbolt,U-turn,Taunt/Encore,Knock Off/Roost,Rocky Helmet,Motor Drive,Timid,4 Def/252 SpA/252 Spe/,PU/
Karrablast,https://www.smogon.com/dex/sm/pokemon/karrablast/,Megahorn,Knock Off,Drill Run,Pursuit/Poison Jab,Choice Scarf,No Guard,Adamant,236 Atk/76 Def/196 Spe/,LC/
Escavalier,https://www.smogon.com/dex/sm/pokemon/escavalier/,Megahorn,Iron Head,Pursuit,Drill Run/Knock Off,Choice Band,Overcoat,Adamant,172 HP/252 Atk/84 Spe/,RU/
Arcanine,https://www.smogon.com/dex/sm/pokemon/arcanine/,Flare Blitz,Wild Charge,Extreme Speed,Morning Sun,Life Orb,Flash Fire,Jolly,252 Atk/4 Def/252 Spe/,RU/VGC17/1v1/
Foongus,https://www.smogon.com/dex/sm/pokemon/foongus/,Spore,Sludge Bomb,Giga Drain,Hidden Power/Hidden Power/Synthesis,Eviolite,Regenerator,Bold,124 HP/160 Def/160 SpD/,LC/
Amoonguss,https://www.smogon.com/dex/sm/pokemon/amoonguss/,Spore,Giga Drain,Hidden Power,Sludge Bomb,Black Sludge,Regenerator,Bold,252 HP/176 Def/80 SpD/,UU/OU/Doubles/Battle Spot Singles/VGC19/VGC18/
Frillish,https://www.smogon.com/dex/sm/pokemon/frillish/,Water Spout,Hydro Pump/Shadow Ball,Energy Ball/Ice Beam,Trick,Choice Scarf,Water Absorb,Timid,76 HP/236 SpA/196 Spe/,LC/
Jellicent,https://www.smogon.com/dex/sm/pokemon/jellicent/,Water Spout,Shadow Ball,Hydro Pump,Trick/Ice Beam,Choice Specs,Water Absorb,Modest,4 Def/252 SpA/252 Spe/,PU/UU/Monotype/Battle Spot Singles/
Alomomola,https://www.smogon.com/dex/sm/pokemon/alomomola/,Wish,Protect,Knock Off/Toxic,Knock Off/Scald,Rocky Helmet,Regenerator,Impish,40 HP/252 Def/216 SpD/,UU/OU/Monotype/
Joltik,https://www.smogon.com/dex/sm/pokemon/joltik/,Volt Switch,Thunderbolt,Giga Drain,Bug Buzz,Life Orb,Swarm,Timid,36 Def/220 SpA/236 Spe/,LC/
Galvantula,https://www.smogon.com/dex/sm/pokemon/galvantula/,Sticky Web,Thunder,Bug Buzz,Volt Switch,Life Orb,Compound Eyes,Timid,252 SpA/4 SpD/252 Spe/,RU/Monotype/
Ferroseed,https://www.smogon.com/dex/sm/pokemon/ferroseed/,Stealth Rock/Spikes,Leech Seed,Gyro Ball,Protect,Eviolite,Iron Barbs,Relaxed,0 Spe/,PU/UU/NU/LC/
Ferrothorn,https://www.smogon.com/dex/sm/pokemon/ferrothorn/,Stealth Rock/Spikes,Leech Seed,Knock Off/Thunder Wave/Gyro Ball,Knock Off/Protect/Power Whip,Leftovers,Iron Barbs,Careful,0 Spe/,OU/AG/Uber/Monotype/Doubles/Battle Spot Singles/VGC19/VGC18/BH/1v1/
Klink,https://www.smogon.com/dex/sm/pokemon/klink/,Shift Gear,Gear Grind,Wild Charge,Return,Eviolite,Clear Body,Adamant,236 Atk/36 Def/116 SpD/116 Spe/,LC/
Charizard,https://www.smogon.com/dex/sm/pokemon/charizard/,Swords Dance,Flare Blitz,Dragon Claw,Roost,Charizardite X,Tough Claws,Jolly,252 Atk/4 Def/252 Spe/,OU/NU/Monotype/Doubles/Battle Spot Singles/VGC18/1v1/LGPE OU/
